Year,Cases
1980.00,493000.00
1981.00,557000.00
1982.00,595000.00
1983.00,628000.00
1984.00,611000.00
1985.00,564000.00
1986.00,578000.00
1987.00,574000.00
1988.00,635000.00
1989.00,591000.00
1990.00,603000.00
1991.00,573000.00
1992.00,682000.00
1993.00,752000.00
1994.00,838000.00
1995.00,796000.00
1996.00,799000.00
1997.00,813000.00
1998.00,921000.00
1999.00,979000.00
2000.00,1104000.00
2001.00,1213000.00
2002.00,1304000.00
2003.00,1349000.00
2004.00,1403000.00
2005.00,1468000.00
2006.00,1528000.00
2007.00,1605000.00
2008.00,1728000.00
2009.00,1812000.00
